genres,id,popularity,vote_average,vote_count,original_title,release_date,overview,tagline,title,rating,weighted_rating,description
"Adventure, Action, Thriller",954,15.793477,6.7,2677.0,Mission: Impossible,1996-05-22,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",Expect the Impossible.,Mission: Impossible,4.225806451612903,3.8298604456560144,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.Expect the Impossible."
Fantasy,8840,23.63659,6.4,553.0,DragonHeart,1996-05-31,"In an ancient time when majestic fire-breathers soared through the skies, a knight named Bowen comes face to face and heart to heart with the last dragon on Earth, Draco. Taking up arms to suppress a tyrant king, Bowen soon realizes his task will be harder than he'd imagined: If he kills the king, Draco will die as well.",You will believe.,DragonHeart,2.5,3.1625642983248996,"In an ancient time when majestic fire-breathers soared through the skies, a knight named Bowen comes face to face and heart to heart with the last dragon on Earth, Draco. Taking up arms to suppress a tyrant king, Bowen soon realizes his task will be harder than he'd imagined: If he kills the king, Draco will die as well.You will believe."
Drama,5801,3.900709,7.9,63.0,পথের পাঁচালী,1955-08-26,"The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life.",,Pather Panchali,4.166666666666667,3.357818334307267,"The film is a coming-of-age story of a young boy named Apu, and life in his small Indian village in the early years of the 20th century. Apu is born to a poor Brahmin family in Bengal. His father Harihar is a priest who dreams of becoming a successful poet and a playwright; he does not earn enough, but the mother Sarbajaya keeps the family going. Because of their limited resources, Sarbajaya resents having to share her home with Harihar's elderly cousin: the old and helpless cripple Indir. Apu's sister Durga is always getting into trouble for stealing guavas from the neighbour's orchards for Indir. She cares for Apu like a good older sister but loves to affectionately tease him. Together, they make do with what they have and enjoy the simple joys of life."
Drama,896,2.381806,8.2,40.0,অপুর সংসার,1959-05-01,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding....,,The World of Apu,3.6666666666666665,3.3400899707507734,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding....
"Animation, Comedy, Drama, Family, Fantasy",2300,11.054251,6.5,1335.0,Space Jam,1996-11-15,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",Get ready to jam.,Space Jam,4.212121212121212,3.6715798597048117,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.Get ready to jam."
"Drama, Thriller",27768,0.459376,7.5,8.0,Some Folks Call It a Sling Blade,1994-03-26,"25 years after committing a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and listens in horror about his life leading up to the crime. This is the short film that inspired the full-length ""Sling Blade""",,Some Folks Call It a Sling Blade,3.5,3.334597643739521,"25 years after committing a double murder, Karl Childers is going to be released from an institution for the criminally insane. A local reporter comes to talk to him, and listens in horror about his life leading up to the crime. This is the short film that inspired the full-length ""Sling Blade"""
Drama,753,7.918418,7.1,36.0,Faces,1968-11-24,"An old married man leaves his wife for a younger woman. Shortly after, his ex-wife also begins a relationship with a younger partner.",,Faces,3.5,3.336728430937723,"An old married man leaves his wife for a younger woman. Shortly after, his ex-wife also begins a relationship with a younger partner."
"Comedy, Romance",8866,5.121203,5.7,86.0,The Truth About Cats & Dogs,1996-04-26,A successful veterinarian and radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.,Brian's about to discover the woman he loves isn't the woman he loves.,The Truth About Cats & Dogs,2.75,3.3113916099137133,A successful veterinarian and radio show host with low self-esteem asks her model friend to impersonate her when a handsome man wants to see her.Brian's about to discover the woman he loves isn't the woman he loves.
"Drama, Fantasy, Western",922,6.505272,7.2,397.0,Dead Man,1995-12-23,"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.",No one can survive becoming a legend.,Dead Man,4.294871794871795,3.4844913581405583,"On the run after murdering a man, accountant William Blake encounters a strange North American man named Nobody who prepares him for his journey into the spiritual world.No one can survive becoming a legend."
"Action, Adventure, Drama",664,8.739144,6.1,966.0,Twister,1996-05-10,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.",The Dark Side of Nature.,Twister,3.5,3.385654662362862,"TV weatherman Bill Harding is trying to get his tornado-hunter wife, Jo, to sign divorce papers so he can marry his girlfriend Melissa. But Mother Nature, in the form of a series of intense storms sweeping across Oklahoma, has other plans. Soon the three have joined the team of stormchasers as they attempt to insert a revolutionary measuring device into the very heart of several extremely violent tornados.The Dark Side of Nature."
"Family, Animation, Comedy",532,6.796858,7.5,223.0,A Close Shave,1995-12-24,"Wallace falls in love with wool-shop owner Wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. Gromit is set up and jailed, but his new-found sheepish friend is determine to give Wallace a helping hand in finding out the real truth.",From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers.,A Close Shave,3.25,3.3260450093807,"Wallace falls in love with wool-shop owner Wendolene, not suspecting that she (or rather, her dog) is at the head of a fiendish sheep-rustling plot. Gromit is set up and jailed, but his new-found sheepish friend is determine to give Wallace a helping hand in finding out the real truth.From the Oscar-winning creator of A Grand Day Out and The Wrong Trousers."
"Drama, Comedy, War",935,9.80398,8.0,1472.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",The hot-line suspense comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.083333333333333,3.6395749858179274,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.The hot-line suspense comedy"
"Comedy, Drama, Science Fiction",7095,6.287245,5.9,340.0,Jack,1996-08-09,"Jack Powell suffers from an affliction that makes him grow four times faster than normal, so the 10-year-old looks like a 40-year-old man. After years of being tutored at home, Jack convinces his overprotective parents to send him to public school. The children don't know what to make of Jack, but with the help of his fifth-grade teacher, he makes an effort to win them over.",Jack Powell is about to tackle his biggest adventure ever... the fifth grade!,Jack,2.5,3.2195274448610056,"Jack Powell suffers from an affliction that makes him grow four times faster than normal, so the 10-year-old looks like a 40-year-old man. After years of being tutored at home, Jack convinces his overprotective parents to send him to public school. The children don't know what to make of Jack, but with the help of his fifth-grade teacher, he makes an effort to win them over.Jack Powell is about to tackle his biggest adventure ever... the fifth grade!"
"Drama, Crime",627,19.348466,7.8,2737.0,Trainspotting,1996-02-23,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Choose life.,Trainspotting,3.3333333333333335,3.333616284332029,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.Choose life."
"Crime, Drama, Thriller",1645,13.309013,7.0,522.0,A Time to Kill,1996-07-24,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.",Experience a time you'll never forget.,A Time to Kill,3.4583333333333335,3.3583866308114843,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.Experience a time you'll never forget."
Comedy,2925,10.177303,6.5,172.0,The First Wives Club,1996-09-20,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!",Don't get mad. Get everything.,The First Wives Club,4.214285714285714,3.3995394620048858,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!Don't get mad. Get everything."
"Drama, Comedy, Romance",3573,6.593011,6.7,152.0,Emma,1996-08-02,"Emma Woodhouse is a congenial young lady who delights in meddling in other people’s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.",Cupid is armed and dangerous!,Emma,2.25,3.26201321015206,"Emma Woodhouse is a congenial young lady who delights in meddling in other people’s affairs. She is perpetually trying to unite men and women who are utterly wrong for each other. Despite her interest in romance, Emma is clueless about her own feelings, and her relationship with gentle Mr. Knightly.Cupid is armed and dangerous!"
"Drama, History",549,4.797674,6.6,97.0,Basquiat,1996-08-09,"Director Julian Schnabel illustrates the portrait of his friend, the first African-American Pop artist Jean-Michel Basquiat who unfortunately died at a young age and just as he was beginning to make a name for himself in the art world. Alongside the biography of Basquiat are the artists and the art scene from early 1980’s New York.","In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History.",Basquiat,4.125,3.368316958891538,"Director Julian Schnabel illustrates the portrait of his friend, the first African-American Pop artist Jean-Michel Basquiat who unfortunately died at a young age and just as he was beginning to make a name for himself in the art world. Alongside the biography of Basquiat are the artists and the art scene from early 1980’s New York.In 1981, A Nineteen-Year-Old Unknown Graffiti Writer Took The New York Art World By Storm. The Rest Is Art History."
"Drama, Crime",238,41.109264,8.5,6024.0,The Godfather,1972-03-14,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",An offer you can't refuse.,The Godfather,3.0,3.087469122666562,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.An offer you can't refuse."
"Fantasy, Comedy, Family",3587,2.523605,5.4,46.0,Bogus,1996-09-06,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.","A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid.",Bogus,4.0,3.3480097296281848,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.A comedy about losing your heart, finding your inner child and meeting the one friend you've always tried to avoid."
"Comedy, Romance",981,8.888069,7.7,196.0,The Philadelphia Story,1940-12-05,"Philadelphia heiress Tracy Lord throws out her playboy husband C.K. Dexter Haven shortly after their marriage. Two years later, Tracy is about to marry respectable George Kittredge whilst Dexter has been working for ""Spy"" magazine. Dexter arrives at the Lord mansion the day before the wedding with journalist Mike Connor and photographer Liz Imbrie, determined to spoil things.",Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!,The Philadelphia Story,1.0,3.1379383949617066,"Philadelphia heiress Tracy Lord throws out her playboy husband C.K. Dexter Haven shortly after their marriage. Two years later, Tracy is about to marry respectable George Kittredge whilst Dexter has been working for ""Spy"" magazine. Dexter arrives at the Lord mansion the day before the wedding with journalist Mike Connor and photographer Liz Imbrie, determined to spoil things.Broadway's howling year-run comedy hit of the snooty society beauty who slipped and fell - IN LOVE!"
"Comedy, Music, Romance",872,11.064858,7.9,747.0,Singin' in the Rain,1952-04-10,"In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her.",What a Glorious Feeling!,Singin' in the Rain,5.0,3.7654287552931676,"In 1927 Hollywood, Don Lockwood and Lina Lamont are a famous on-screen romantic pair in silent movies, but Lina mistakes the on-screen romance for real love. When their latest film is transformed into a musical, Don has the perfect voice for the songs, but strident voice faces the studio to dub her voice. Aspiring actress, Kathy Selden is brought in and, while she is working on the movie, Don falls in love with her.What a Glorious Feeling!"
"Drama, Comedy, Music, Romance",2769,5.565203,6.9,133.0,An American in Paris,1951-08-08,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",What a joy! It's M-G-M's Technicolor musical!,An American in Paris,2.3333333333333335,3.2753633904322723,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.What a joy! It's M-G-M's Technicolor musical!"
"Comedy, Drama, Romance",164,10.879289,7.6,1082.0,Breakfast at Tiffany's,1961-10-05,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.","Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!",Breakfast at Tiffany's,3.5576923076923075,3.4091636345911533,"Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who's moved into her building on a wealthy woman's dime. As romance blooms between Paul and Holly, Doc Golightly shows up on the scene, revealing Holly's past.Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!"
"Mystery, Romance, Thriller",426,18.20822,8.0,1162.0,Vertigo,1958-05-09,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,Vertigo,3.1666666666666665,3.2750555876071554,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.Alfred Hitchcock engulfs you in a whirlpool of terror and tension!"
"Drama, Mystery, Thriller",567,17.911314,8.2,1531.0,Rear Window,1954-08-01,"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.",It only takes one witness to spoil the perfect crime.,Rear Window,4.0,3.611933827080044,"Professional photographer L.B. ""Jeff"" Jeffries breaks his leg while getting an action shot at an auto race. Confined to his New York apartment, he spends his time looking out of the rear window observing the neighbors. He begins to suspect that a man across the courtyard may have murdered his wife. Jeff enlists the help of his high society fashion-consultant girlfriend Lisa Freemont and his visiting nurse Stella to investigate.It only takes one witness to spoil the perfect crime."
"Comedy, Romance",3078,6.465257,7.7,283.0,It Happened One Night,1934-02-22,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!",TOGETHER... for the first time,It Happened One Night,3.75,3.382618981467937,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!TOGETHER... for the first time"
"Mystery, Thriller",213,12.410427,7.8,1062.0,North by Northwest,1959-07-07,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",It's a deadly game of 'tag' and Cary Grant is 'it'...,North by Northwest,4.222222222222222,3.6288105155940436,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.It's a deadly game of 'tag' and Cary Grant is 'it'..."
"Comedy, Romance",239,11.845107,8.0,835.0,Some Like It Hot,1959-03-18,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",The movie too HOT for words!,Some Like It Hot,2.933333333333333,3.2214340043655088,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.The movie too HOT for words!"
"Drama, Romance",289,13.916101,7.9,1462.0,Casablanca,1942-11-26,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",They had a date with fate in Casablanca!,Casablanca,3.4642857142857144,3.386905114301668,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.They had a date with fate in Casablanca!"
"Mystery, Crime, Thriller",963,5.782544,7.8,435.0,The Maltese Falcon,1941-11-18,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",A story as EXPLOSIVE as his BLAZING automatics!,The Maltese Falcon,3.0,3.2775040795502974,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.A story as EXPLOSIVE as his BLAZING automatics!"
"Comedy, Drama, Romance",6620,7.359741,7.4,284.0,Sabrina,1954-09-28,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire, he has no time for a wife and family. David is all play -- technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but David hardly notices her -- ""doesn't even know I exist"" -- until she goes away to Paris for two years, and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds that she has captured David's attention, but just as she does so, she finds herself falling in love with Linus, and she finds that Linus is also falling in love with her.",...the chauffeur's daughter who learned her stuff in Paris,Sabrina,3.6470588235294117,3.3706974811172805,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire, he has no time for a wife and family. David is all play -- technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but David hardly notices her -- ""doesn't even know I exist"" -- until she goes away to Paris for two years, and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds that she has captured David's attention, but just as she does so, she finds herself falling in love with Linus, and she finds that Linus is also falling in love with her....the chauffeur's daughter who learned her stuff in Paris"
"Comedy, Romance",804,11.954806,7.8,502.0,Roman Holiday,1953-09-02,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",Romance in romantic Rome!,Roman Holiday,2.892857142857143,3.2500827923309066,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.Romance in romantic Rome!"
"Comedy, Music, Romance",909,7.331511,6.8,66.0,Meet Me in St. Louis,1944-11-23,"In the year before the 1904 St Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",M·G·M's glorious love story with music!,Meet Me in St. Louis,3.803030303030303,3.34802779425602,"In the year before the 1904 St Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.M·G·M's glorious love story with music!"
"Adventure, Family, Fantasy",630,22.064932,7.4,1689.0,The Wizard of Oz,1939-08-15,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","We're off to see the Wizard, the wonderful Wizard of Oz!",The Wizard of Oz,3.5,3.4072597006776792,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.We're off to see the Wizard, the wonderful Wizard of Oz!"
Drama,599,11.709777,8.2,533.0,Sunset Boulevard,1950-08-10,A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,A Hollywood Story,Sunset Boulevard,4.035714285714286,3.4740366818681356,A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.A Hollywood Story
"Mystery, Drama",15,15.811921,8.0,1244.0,Citizen Kane,1941-04-30,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",It's Terrific!,Citizen Kane,2.3181818181818183,2.9602831366143203,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.It's Terrific!"
"Science Fiction, Mystery, Adventure",62,22.494622,7.9,3075.0,2001: A Space Odyssey,1968-04-10,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",An epic drama of adventure and exploration,2001: A Space Odyssey,3.689655172413793,3.543802187014975,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.An epic drama of adventure and exploration"
Drama,705,12.06308,8.0,367.0,All About Eve,1950-11-09,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",It's all about women... and their men!,All About Eve,2.8333333333333335,3.260615922530036,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.It's all about women... and their men!"
"Drama, Mystery",223,8.590813,7.7,346.0,Rebecca,1940-04-12,A self-conscious bride is tormented by the memory of her husband's dead first wife.,The shadow of this woman darkened their love.,Rebecca,3.963302752293578,3.4216557265700502,A self-conscious bride is tormented by the memory of her husband's dead first wife.The shadow of this woman darkened their love.
"Thriller, Drama, Romance",303,10.135111,7.8,345.0,Notorious,1946-08-15,"Released shortly after the war, this classic Hitchcock film illustrates the battle between German Nazis and American spies in Rio de Janeiro where a German businessman keeps a wine cellar with uranium ore.",Notorious woman of affairs... Adventurous man of the world,Notorious,3.1875,3.313622052222817,"Released shortly after the war, this classic Hitchcock film illustrates the battle between German Nazis and American spies in Rio de Janeiro where a German businessman keeps a wine cellar with uranium ore.Notorious woman of affairs... Adventurous man of the world"
"Drama, Mystery, Thriller",4174,5.47596,7.3,166.0,Spellbound,1945-12-28,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",The maddest love that ever possessed a woman.,Spellbound,3.8,3.367562077118794,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.The maddest love that ever possessed a woman."
"Crime, Drama, Mystery, Romance, Thriller",381,5.490505,7.1,299.0,To Catch a Thief,1955-08-03,A delightful Hitchcock film about an ex-burglar who must catch a thief who’s been copying this style before he gets accused of the wrong crimes. His time is running out as the police are close behind him yet he finds time for a little romance of course. A classic masterpiece starring Grace Kelly and Cary Grant.,WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!,To Catch a Thief,3.1379310344827585,3.3099202232519955,A delightful Hitchcock film about an ex-burglar who must catch a thief who’s been copying this style before he gets accused of the wrong crimes. His time is running out as the police are close behind him yet he finds time for a little romance of course. A classic masterpiece starring Grace Kelly and Cary Grant.WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!
"Comedy, Romance",1859,5.120036,7.3,77.0,Ninotchka,1939-10-06,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,Greta Garbo laughs!,Ninotchka,5.0,3.3919075387866977,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.Greta Garbo laughs!
"Drama, Mystery",1939,9.884516,7.6,173.0,Laura,1944-10-11,A police detective falls in love with the woman whose murder he's investigating.,The story of a love that became the most fearful thing that ever happened to a woman!,Laura,4.636363636363637,3.4314954138645533,A police detective falls in love with the woman whose murder he's investigating.The story of a love that became the most fearful thing that ever happened to a woman!
"Adventure, Fantasy, Drama, Mystery",3598,3.166544,6.8,42.0,Lost Horizon,1937-09-01,"British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.",At Last ! . . . The Masterpiece Of America's Foremost Film Genius Blazes To The Screen !,Lost Horizon,3.8333333333333335,3.3436013969456946,"British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.At Last ! . . . The Masterpiece Of America's Foremost Film Genius Blazes To The Screen !"
"Comedy, War",198,7.274948,7.7,119.0,To Be or Not to Be,1942-03-05,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",,To Be or Not to Be,3.441860465116279,3.339667910477279,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
